GE-IND334,5,20,6,,,,,,,
0,,,,,,,,,,
1,,,,,,,,,,
0,,,,,,,,,,
100,84,70,59,51,44,39,34,31,28,25
10,,,,,,,,,,
3,,,,,,,,,,
10,,,,,,,,,,
102,86,72,62,53,46,41,36,33,29,27
30,,,,,,,,,,
102,88,76,66,57,51,45,41,37,34,31
50,,,,,,,,,,
102,90,79,70,63,57,51,47,43,40,37
30,,,,,,,,,,
3,,,,,,,,,,
10,,,,,,,,,,
106,89,74,63,54,47,41,37,33,30,27
30,,,,,,,,,,
106,91,78,67,59,52,46,42,38,34,31
50,,,,,,,,,,
106,94,82,73,65,58,53,48,44,41,38
50,,,,,,,,,,
3,,,,,,,,,,
10,,,,,,,,,,
111,92,76,64,55,47,42,37,33,30,27
30,,,,,,,,,,
111,95,80,69,60,53,47,42,38,35,32
50,,,,,,,,,,
111,98,86,76,67,60,55,50,46,42,39
70,,,,,,,,,,
4,,,,,,,,,,
10,,,,,,,,,,
116,95,78,65,55,48,42,37,33,30,27
30,,,,,,,,,,
116,98,83,71,62,54,48,43,39,35,32
50,,,,,,,,,,
116,102,89,79,70,62,56,51,47,43,40
70,,,,,,,,,,
116,106,97,88,81,74,69,64,59,56,52
80,,,,,,,,,,
4,,,,,,,,,,
10,,,,,,,,,,
119,96,79,66,56,48,42,37,33,30,27
30,,,,,,,,,,
119,100,84,72,62,55,48,43,39,36,32
50,,,,,,,,,,
119,104,91,80,71,64,57,52,48,44,40
70,,,,,,,,,,
119,109,99,91,83,76,71,65,61,57,53
