Type14,4,20,6,,,,,,
0,,,,,,,,,
1,,,,,,,,,
0,,,,,,,,,
0.53,0.51,0.49,0.47,0.45,0.44,0.43,0.41,0.4,0.38
10,,,,,,,,,
3,,,,,,,,,
10,,,,,,,,,
0.54,0.51,0.5,0.48,0.46,0.45,0.44,0.42,0.4,0.39
30,,,,,,,,,
0.54,0.52,0.51,0.49,0.47,0.46,0.45,0.43,0.41,0.4
50,,,,,,,,,
0.55,0.53,0.52,0.5,0.48,0.47,0.46,0.45,0.43,0.41
30,,,,,,,,,
3,,,,,,,,,
10,,,,,,,,,
0.56,0.53,0.51,0.48,0.46,0.45,0.44,0.42,0.4,0.39
30,,,,,,,,,
0.56,0.53,0.52,0.49,0.47,0.46,0.45,0.43,0.42,0.4
50,,,,,,,,,
0.56,0.54,0.53,0.51,0.49,0.48,0.47,0.45,0.43,0.42
50,,,,,,,,,
3,,,,,,,,,
10,,,,,,,,,
0.57,0.54,0.51,0.49,0.47,0.45,0.44,0.42,0.4,0.39
30,,,,,,,,,
0.58,0.55,0.53,0.5,0.48,0.47,0.45,0.44,0.42,0.4
50,,,,,,,,,
0.58,0.56,0.54,0.52,0.5,0.49,0.47,0.46,0.44,0.42
70,,,,,,,,,
3,,,,,,,,,
10,,,,,,,,,
0.59,0.55,0.52,0.49,0.47,0.46,0.44,0.42,0.41,0.39
30,,,,,,,,,
0.6,0.56,0.54,0.51,0.49,0.47,0.46,0.44,0.42,0.4
50,,,,,,,,,
0.6,0.58,0.55,0.53,0.51,0.49,0.488,0.46,0.44,0.42
80,,,,,,,,,
3,,,,,,,,,
10,,,,,,,,,
0.6,0.56,0.53,0.5,0.47,0.46,0.44,0.43,0.41,0.39
30,,,,,,,,,
0.61,0.57,0.54,0.51,0.49,0.47,0.46,0.44,0.42,0.4
50,,,,,,,,,
0.62,0.58,0.56,0.53,0.51,0.48,0.46,0.44,0.45,0.43
