Type15,4,20,6,,,,,,
0,,,,,,,,,
1,,,,,,,,,
0,,,,,,,,,
0.63,0.6,0.57,0.55,0.52,0.5,0.48,0.46,0.44,0.42
10,,,,,,,,,
3,,,,,,,,,
10,,,,,,,,,
0.64,0.61,0.58,0.55,0.53,0.51,0.49,0.47,0.45,0.42
30,,,,,,,,,
0.65,0.62,0.59,0.57,0.54,0.53,0.51,0.49,0.46,0.44
50,,,,,,,,,
0.65,0.63,0.61,0.58,0.56,0.55,0.53,0.51,0.48,0.46
30,,,,,,,,,
3,,,,,,,,,
10,,,,,,,,,
0.66,0.62,0.59,0.56,0.53,0.51,0.49,0.47,0.45,0.42
30,,,,,,,,,
0.67,0.63,0.6,0.58,0.55,0.53,0.51,0.49,0.47,0.44
50,,,,,,,,,
0.67,0.64,0.62,0.59,0.57,0.55,0.53,0.51,0.49,0.47
50,,,,,,,,,
3,,,,,,,,,
10,,,,,,,,,
0.68,0.63,0.6,0.57,0.54,0.52,0.5,0.47,0.45,0.43
30,,,,,,,,,
0.69,0.65,0.61,0.58,0.56,0.54,0.51,0.49,0.47,0.44
50,,,,,,,,,
0.7,0.66,0.64,0.6,0.58,0.56,0.54,0.52,0.49,0.47
70,,,,,,,,,
3,,,,,,,,,
10,,,,,,,,,
0.7,0.65,0.61,0.57,0.54,0.52,0.5,0.48,0.45,0.43
30,,,,,,,,,
0.71,0.66,0.63,0.59,0.56,0.54,0.52,0.5,0.47,0.45
50,,,,,,,,,
0.72,0.68,0.65,0.62,0.59,0.57,0.55,0.52,0.5,0.48
80,,,,,,,,,
3,,,,,,,,,
10,,,,,,,,,
0.71,0.65,0.61,58,0.54,0.52,0.5,0.48,0.45,0.43
30,,,,,,,,,
0.72,0.67,0.63,0.6,0.57,0.54,0.52,0.5,0.47,0.45
50,,,,,,,,,
0.74,0.69,0.66,0.63,0.6,0.57,0.55,0.53,0.5,0.48
